srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000000.0,1700000000.001,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000000.35,1700000000.351,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000000.7,1700000000.701,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000001.05,1700000001.051,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000001.4,1700000001.401,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50000,10.0.0.1,21,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000001.75,1700000001.751,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000002.1,1700000002.101,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000002.45,1700000002.451,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000002.8,1700000002.801,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000003.15,1700000003.151,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000003.5,1700000003.501,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50001,10.0.0.1,22,tcp,REQ,0.001,60,0,64,0,1,0,ssh,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000003.85,1700000003.851,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000004.2,1700000004.201,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000004.55,1700000004.551,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000004.9,1700000004.901,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000005.25,1700000005.251,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
192.168.1.10,50002,10.0.0.1,23,tcp,REQ,0.001,60,0,64,0,1,0,-,48000,0,1,0,0,0,0,0,60,0,0,0,0,0,1700000005.6,1700000005.601,0.001,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
